Postcode,Datazone2011,Datazone Population (2011),IZ2011 Code,IZ2011 Name,Local Authority Code,Local Authority Name,Community Health Partnership (CHP) Code,Community Health Partnership (CHP) Name,Health Board (HB) Code,Health Board (HB) Name,Locality,LHP Code
DG1 1DF,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DG,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DJ,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DL,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DR,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DT,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DU,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DX,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EA,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EB,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1ED,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EF,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EG,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EH,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EJ,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EL,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1ET,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EW,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1EX,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1FA,S01007568,819,S02001421,Mid Nithsdale,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1GL,S01007614,719,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1GN,S01007614,719,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1GP,S01007614,719,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1GQ,S01007614,719,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1GZ,S01007627,719,S02001434,Collin,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1AA,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1AG,S01007566,819,S02001421,Mid Nithsdale,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BA,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BD,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BF,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BG,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BH,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BJ,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BL,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BS,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BT,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BU,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BW,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BX,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BY,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1BZ,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DA,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DB,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DD,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1DE,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HA,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HB,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HD,S01007610,588,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HE,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HF,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HH,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HJ,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HL,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HN,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HP,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HR,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HS,S01007612,795,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HU,S01007612,747,S02001430,Dumfries Central,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HW,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HX,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HY,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1HZ,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JA,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JB,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JD,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JE,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JF,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JG,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JL,S01007613,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JN,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JP,S01007613,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JQ,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JR,S01007613,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JU,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JW,S01007613,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JX,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JY,S01007614,1254,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1JZ,S01007614,751,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
DG1 1LG,S01007613,747,S02001431,Nunholm,170,Dumfries & Galloway,S03000005,Dumfries & Galloway Community Health Partnership,S08000003,Dumfries & Galloway,Nithsdale,9
