Postcode,A,B,C,D,E,F,G,H
DG1 1DF,0,0,1,0,0,0,0,0
DG1 1DG,0,0,0,0,0,0,0,0
DG1 1DJ,1,3,0,0,0,0,0,0
DG1 1DL,0,0,0,2,0,0,0,0
DG1 1DR,0,0,0,1,0,0,0,0
DG1 1DT,0,0,0,2,2,3,1,0
DG1 1DU,0,2,3,2,0,0,0,0
DG1 1DX,0,0,0,0,0,0,0,0
DG1 1EA,28,2,0,1,0,0,1,0
DG1 1EB,0,0,0,0,0,0,2,0
DG1 1ED,0,0,0,0,0,0,0,0
DG1 1EF,0,6,0,0,0,0,0,0
DG1 1EG,1,3,4,6,1,0,0,0
DG1 1EH,0,0,0,0,0,0,2,0
DG1 1EJ,0,0,2,0,0,0,0,0
DG1 1EL,0,0,4,1,0,0,0,0
DG1 1ET,6,1,0,0,0,0,0,0
DG1 1EW,0,0,0,0,0,0,0,0
DG1 1EX,0,5,0,0,0,0,0,0
DG1 1FA,0,0,0,0,0,1,0,0
DG1 1GL,0,0,0,0,0,1,6,0
DG1 1GN,0,0,0,0,13,7,4,0
DG1 1GP,0,0,0,0,5,2,0,0
DG1 1GQ,0,0,0,0,26,13,1,0
DG1 1GZ,0,0,0,0,8,5,3,0
DG1 1AA,0,0,0,0,0,0,0,0
DG1 1AG,0,4,0,0,0,0,0,0
DG1 1BA,0,2,0,0,0,0,0,0
DG1 1BD,1,5,1,0,0,0,0,0
DG1 1BF,0,0,0,0,0,0,0,0
DG1 1BG,3,2,1,0,0,0,0,0
DG1 1BH,1,1,0,0,0,0,0,0
DG1 1BJ,0,0,0,0,0,0,0,0
DG1 1BL,0,0,0,0,0,0,0,0
DG1 1BS,4,0,2,0,0,0,0,0
DG1 1BT,12,5,0,0,0,0,0,0
DG1 1BU,4,1,1,1,0,0,0,0
DG1 1BW,0,0,0,0,0,0,0,0
DG1 1BX,0,6,0,0,0,0,0,0
DG1 1BY,0,1,1,3,0,0,0,0
DG1 1BZ,1,1,2,0,0,0,0,0
DG1 1DA,0,0,0,0,0,0,0,0
DG1 1DB,0,0,1,1,0,0,0,0
DG1 1DD,0,0,0,0,0,0,0,0
DG1 1DE,0,0,0,0,0,0,0,0
DG1 1HA,0,1,0,0,0,0,0,0
DG1 1HB,0,0,0,0,1,0,0,0
DG1 1HD,0,0,0,0,0,0,0,0
DG1 1HE,1,6,3,7,0,0,0,0
DG1 1HF,0,8,2,4,3,0,0,0
DG1 1HH,2,0,0,0,0,0,0,0
DG1 1HJ,1,3,0,0,0,0,0,0
DG1 1HL,0,0,0,0,0,0,0,0
DG1 1HN,0,0,0,0,0,0,0,0
DG1 1HP,0,0,0,0,0,0,0,0
DG1 1HR,0,0,0,0,0,0,0,0
DG1 1HS,0,0,0,0,0,0,0,0
DG1 1HU,0,0,0,0,0,0,0,0
DG1 1HW,3,5,0,1,0,0,0,0
DG1 1HX,1,2,3,0,4,0,1,0
DG1 1HY,2,12,5,4,2,0,0,0
DG1 1HZ,0,0,0,0,3,0,0,0
DG1 1JA,0,2,2,0,6,0,8,0
DG1 1JB,0,0,0,0,0,0,0,0
DG1 1JD,0,0,0,0,2,0,0,0
DG1 1JE,0,0,0,0,2,4,0,0
DG1 1JF,1,3,0,0,6,0,0,0
DG1 1JG,0,0,0,0,0,2,0,0
DG1 1JL,0,0,0,2,3,2,3,0
DG1 1JN,0,0,1,0,2,8,0,0
DG1 1JP,0,0,0,0,0,6,17,0
DG1 1JQ,0,2,0,2,3,10,2,0
DG1 1JR,0,0,0,0,0,0,6,0
DG1 1JU,0,0,0,0,6,12,7,0
DG1 1JW,0,0,0,0,9,14,10,0
DG1 1JX,0,0,2,0,6,12,17,0
DG1 1JY,0,0,0,0,0,0,1,0
DG1 1JZ,0,0,0,2,2,10,0,0
DG1 1LG,0,0,0,0,0,0,0,0
DG1 1LN,1,2,0,0,0,4,1,0
DG1 1LP,0,0,1,0,2,7,1,0
DG1 1LR,2,7,0,2,8,4,3,0
DG1 1LS,0,0,0,2,2,0,2,0
DG1 1LT,0,0,0,0,0,0,0,0
DG1 1LU,0,0,0,0,0,0,0,0
DG1 1LW,1,0,0,0,0,2,1,0
DG1 1LX,1,0,1,2,3,2,1,0
DG1 1LZ,1,1,0,0,2,0,1,0
DG1 1NA,0,0,0,0,0,0,0,0
DG1 1NE,0,0,0,0,0,0,0,0
DG1 1NF,0,0,7,7,3,0,0,0
DG1 1NH,0,3,3,7,0,0,0,0
DG1 1NJ,2,0,0,0,6,3,0,0
DG1 1NL,0,2,2,5,4,0,0,0
DG1 1NN,0,0,0,4,12,5,5,0
DG1 1NP,0,0,0,0,0,0,0,0
DG10 9NT,0,0,4,0,0,0,0,0
DG10 9NU,0,0,2,0,0,0,0,0
DG10 9NW,0,1,1,0,0,0,0,0
DG10 9NX,0,8,0,0,0,0,0,0
DG10 9PA,3,18,0,0,0,0,0,0
DG10 9PB,0,2,0,0,0,0,2,0
DG10 9PD,2,2,0,0,0,0,0,0
DG10 9PE,0,18,2,0,0,0,6,0
DG10 9PF,0,0,0,0,0,0,2,0
